Accident_Index,Age_Band_of_Driver,Age_of_Vehicle,Driver_Home_Area_Type,Driver_IMD_Decile,Engine_Capacity_.CC.,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Journey_Purpose_of_Driver,Junction_Location,make,model,Propulsion_Code,Sex_of_Driver,Skidding_and_Overturning,Towing_and_Articulation,Vehicle_Leaving_Carriageway,Vehicle_Location.Restricted_Lane,Vehicle_Manoeuvre,Vehicle_Reference,Vehicle_Type,Was_Vehicle_Left_Hand_Drive,X1st_Point_of_Impact,Year_x,1st_Road_Class,1st_Road_Number,2nd_Road_Class,2nd_Road_Number,Accident_Severity,Carriageway_Hazards,Date,Day_of_Week,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Control,Junction_Detail,Latitude,Light_Conditions,Local_Authority_(District),Local_Authority_(Highway),Location_Easting_OSGR,Location_Northing_OSGR,Longitude,LSOA_of_Accident_Location,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Year_y,InScotland
200501BS00016,26 - 35,4.0,Urban area,6.0,2148.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,MERCEDES,C220 CDI CLASSIC,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning left,2.0,Car,No,Did not impact,2005.0,A,3217.0,A,3216.0,Slight,None,2005-01-18,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.492622,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527990.0,178690.0,-0.157753,E01002902,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,One way street,None,30.0,05:01,Urban,Raining no high winds,2005.0,No
200501BS00017,36 - 45,2.0,Urban area,7.0,1171.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,BMW,K 1200 GT,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle over 500cc,No,Front,2005.0,A,4.0,,0.0,Slight,None,2005-01-18,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.495429,Daylight,Kensington and Chelsea,Kensington and Chelsea,526700.0,178970.0,-0.176224,E01002821,2.0,1.0,0.0,0.0,Metropolitan Police,Dry,Dual carriageway,None,30.0,11:15,Urban,Fine no high winds,2005.0,No
200501BS00018,56 - 65,1.0,Urban area,3.0,7300.0,None,None,Journey as part of work,Approaching junction or waiting/parked at junction approach,VOLVO,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Bus or coach (17 or more pass seats),No,Nearside,2005.0,A,3217.0,Unclassified,0.0,Slight,None,2005-01-18,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.481912,Daylight,Kensington and Chelsea,Kensington and Chelsea,526460.0,177460.0,-0.18022,E01002840,1.0,1.0,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30.0,10:50,Urban,Fine no high winds,2005.0,No
200501BS00020,26 - 35,7.0,Urban area,6.0,1998.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,PEUGEOT,406 2.0 COUPE AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning right,1.0,Car,No,Offside,2005.0,A,3218.0,A,4.0,Slight,None,2005-01-21,Friday,1.0,Give way or uncontrolled,T or staggered junction,51.495811,Daylight,Kensington and Chelsea,Kensington and Chelsea,527000.0,179020.0,-0.171887,E01002821,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,09:15,Urban,Fine no high winds,2005.0,No
200501BS00021,26 - 35,1.0,Urban area,8.0,599.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,HONDA,CBF 600 S-4,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Overtaking moving vehicle - offside,1.0,Motorcycle over 500cc,No,Front,2005.0,B,302.0,,0.0,Slight,None,2005-01-21,Friday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.486552,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527810.0,178010.0,-0.16059,E01002901,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,21:16,Urban,Fine no high winds,2005.0,No
200501BS00021,26 - 35,5.0,Urban area,10.0,1995.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,VAUXHALL,VECTRA CLUB DI,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,U-turn,2.0,Car,No,Offside,2005.0,B,302.0,,0.0,Slight,None,2005-01-21,Friday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.486552,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527810.0,178010.0,-0.16059,E01002901,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,21:16,Urban,Fine no high winds,2005.0,No
200501BS00022,26 - 35,1.0,Urban area,6.0,1997.0,None,None,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,HONDA,ACCORD VTEC SPORT,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2005.0,A,4.0,Unclassified,0.0,Serious,None,2005-01-08,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.495498,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526790.0,178980.0,-0.174925,E01002821,1.0,1.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,03:00,Urban,Fine no high winds,2005.0,No
200501BS00023,Data missing or out of range,,Data missing or out of range,,,None,None,Journey as part of work,Not at or within 20 metres of junction,HONDA,SH50,,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle 125cc and under,No,Front,2005.0,Unclassified,0.0,,0.0,Slight,None,2005-01-24,Monday,2.0,Data missing or out of range,Not at junction or within 20 metres,51.492992,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525940.0,178680.0,-0.18727,E01002839,1.0,1.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,21:45,Urban,Fine no high winds,2005.0,No
200501BS00028,36 - 45,4.0,Urban area,10.0,120.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,BMW,C1,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle 125cc and under,No,Offside,2005.0,C,0.0,Unclassified,0.0,Slight,None,2005-01-18,Tuesday,2.0,Give way or uncontrolled,Crossroads,51.49296,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527290.0,178710.0,-0.167824,E01002858,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,17:25,Urban,Fine no high winds,2005.0,No
200501BS00029,56 - 65,1.0,Urban area,2.0,1951.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,ROVER,75 CONTMPY SE CDTI TOUR A,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning right,2.0,Car,No,Nearside,2005.0,A,4.0,B,319.0,Slight,None,2005-01-29,Saturday,1.0,Auto traffic signal,T or staggered junction,51.498062,Daylight,Kensington and Chelsea,Kensington and Chelsea,527380.0,179280.0,-0.166322,E01002819,1.0,2.0,0.0,5.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30.0,07:34,Urban,Fine no high winds,2005.0,No
200501BS00033,26 - 35,3.0,Urban area,6.0,1796.0,None,None,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,LOTUS,ELISE 111S,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,1.0,Car,No,Back,2005.0,A,3220.0,A,3218.0,Slight,None,2005-01-29,Saturday,3.0,Auto traffic signal,Crossroads,51.488671,Daylight,Kensington and Chelsea,Kensington and Chelsea,525570.0,178190.0,-0.192771,E01002849,2.0,2.0,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,13:15,Urban,Raining no high winds,2005.0,No
200501BS70001,26 - 35,14.0,Urban area,1.0,398.0,None,None,Other/Not known (2005-10),Cleared junction or waiting/parked at junction exit,HONDA,,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Overtaking moving vehicle - offside,1.0,Motorcycle over 125cc and up to 500cc,No,Front,2005.0,A,4.0,C,0.0,Slight,None,2005-02-01,Tuesday,1.0,Auto traffic signal,Crossroads,51.494902,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526240.0,178900.0,-0.182872,E01002835,1.0,2.0,0.0,5.0,Metropolitan Police,Wet or damp,Dual carriageway,None,30.0,18:20,Urban,Raining no high winds,2005.0,No
200501BS70002,26 - 35,4.0,Urban area,4.0,645.0,None,None,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,SUZUKI,SV 650 Y,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Motorcycle over 500cc,No,Front,2005.0,B,319.0,Unclassified,0.0,Slight,None,2005-02-02,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.496893,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527780.0,179160.0,-0.160606,E01002863,1.0,2.0,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30.0,07:25,Urban,Fine no high winds,2005.0,No
200501BS70005,36 - 45,1.0,Urban area,5.0,244.0,None,None,Other/Not known (2005-10),Approaching junction or waiting/parked at junction approach,PIAGGIO,X9 250,Petrol,Male,Skidded,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle over 125cc and up to 500cc,No,Front,2005.0,A,4.0,Unclassified,0.0,Slight,None,2005-02-12,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.497103,Daylight,Kensington and Chelsea,Kensington and Chelsea,527250.0,179170.0,-0.168234,E01002819,1.0,2.0,0.0,4.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,09:55,Urban,Fine no high winds,2005.0,No
200501BS70007,46 - 55,9.0,Urban area,1.0,1985.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,SAAB,900 XS,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Offside,2005.0,C,0.0,Unclassified,0.0,Slight,None,2005-02-01,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.523585,Daylight,Kensington and Chelsea,Kensington and Chelsea,523740.0,182030.0,-0.217769,E01002906,1.0,4.0,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30.0,13:02,Urban,Fine no high winds,2005.0,No
200501BS70007,36 - 45,,Urban area,3.0,,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,IVECO-FORD,,,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Car,No,Offside,2005.0,C,0.0,Unclassified,0.0,Slight,None,2005-02-01,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.523585,Daylight,Kensington and Chelsea,Kensington and Chelsea,523740.0,182030.0,-0.217769,E01002906,1.0,4.0,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30.0,13:02,Urban,Fine no high winds,2005.0,No
200501BS70007,26 - 35,6.0,Urban area,7.0,1590.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,HONDA,HR-V,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,3.0,Car,No,Offside,2005.0,C,0.0,Unclassified,0.0,Slight,None,2005-02-01,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.523585,Daylight,Kensington and Chelsea,Kensington and Chelsea,523740.0,182030.0,-0.217769,E01002906,1.0,4.0,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30.0,13:02,Urban,Fine no high winds,2005.0,No
200501BS70008,Data missing or out of range,18.0,Data missing or out of range,,1117.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,FORD,FIESTA FESTIVAL,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning right,2.0,Car,No,Front,2005.0,Unclassified,0.0,Unclassified,0.0,Slight,None,2005-02-03,Thursday,1.0,Give way or uncontrolled,Crossroads,51.514951,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,523770.0,181070.0,-0.217674,E01002880,2.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,22:55,Urban,Fine no high winds,2005.0,No
200501BS70013,36 - 45,3.0,Urban area,3.0,1595.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,AUDI,A3 1.6 SPORT,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2005.0,A,402.0,A,4204.0,Slight,None,2005-02-04,Friday,1.0,Auto traffic signal,Crossroads,51.509377,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,525410.0,180490.0,-0.194258,E01002827,1.0,1.0,0.0,5.0,Metropolitan Police,Dry,Single carriageway,None,30.0,23:35,Urban,Fine no high winds,2005.0,No
200501BS70014,36 - 45,3.0,Urban area,8.0,599.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,HONDA,CB 600 F-2,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Turning left,1.0,Motorcycle over 500cc,No,Front,2005.0,B,302.0,Unclassified,0.0,Slight,None,2005-02-07,Monday,1.0,Give way or uncontrolled,T or staggered junction,51.483999,Daylight,Kensington and Chelsea,Kensington and Chelsea,527570.0,177720.0,-0.16415,E01002900,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,09:15,Urban,Fine no high winds,2005.0,No
200501BS70017,36 - 45,3.0,Urban area,2.0,2664.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,LONDON TAXIS INT,TX1 BRONZE AUTO,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Taxi/Private hire car,No,Back,2005.0,A,308.0,Unclassified,0.0,Slight,None,2005-02-08,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.488776,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526710.0,178230.0,-0.176346,E01002910,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,20:00,Urban,Fine no high winds,2005.0,No
200501BS70017,56 - 65,39.0,Data missing or out of range,,,None,None,Journey as part of work,Mid Junction - on roundabout or on main road,LEYLAND AEC,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Bus or coach (17 or more pass seats),No,Front,2005.0,A,308.0,Unclassified,0.0,Slight,None,2005-02-08,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.488776,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526710.0,178230.0,-0.176346,E01002910,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,20:00,Urban,Fine no high winds,2005.0,No
200501BS70018,66 - 75,1.0,Urban area,6.0,1994.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,SUBARU,IMPREZA GX SPORT AWD A,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,2.0,Car,No,Nearside,2005.0,A,315.0,,0.0,Slight,None,2005-02-16,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.502177,Daylight,Kensington and Chelsea,Kensington and Chelsea,525860.0,179700.0,-0.188058,E01002889,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,08:20,Urban,Fine no high winds,2005.0,No
200501BS70019,66 - 75,18.0,Urban area,3.0,1488.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,HONDA,BALLADE EX AUTO,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Car,No,Front,2005.0,Unclassified,0.0,,0.0,Slight,None,2005-02-07,Monday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.4849,Daylight,Kensington and Chelsea,Kensington and Chelsea,526360.0,177790.0,-0.181542,E01002912,1.0,2.0,0.0,0.0,Metropolitan Police,Dry,Single carriageway,None,30.0,11:30,Urban,Fine no high winds,2005.0,No
200501BS70020,46 - 55,2.0,Data missing or out of range,,124.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,PIAGGIO,VESPA GT 125,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,2.0,Motorcycle 125cc and under,No,Front,2005.0,A,4.0,A,3218.0,Slight,None,2005-02-10,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.495806,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527020.0,179020.0,-0.171599,E01002821,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,18:10,Urban,Raining no high winds,2005.0,No
200501BS70021,26 - 35,5.0,Urban area,3.0,8300.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,DENNIS,,Heavy oil,Male,None,No tow/articulation,Did not leave carriageway,0.0,Waiting to go - held up,1.0,Bus or coach (17 or more pass seats),No,Did not impact,2005.0,A,308.0,,0.0,Slight,Other object on road,2005-02-12,Saturday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.485005,Daylight,Kensington and Chelsea,Kensington and Chelsea,526290.0,177800.0,-0.182546,E01002912,1.0,1.0,0.0,4.0,Metropolitan Police,Wet or damp,Single carriageway,Roadworks,30.0,11:33,Urban,Fine no high winds,2005.0,No
200501BS70025,46 - 55,10.0,Urban area,3.0,1994.0,None,None,Other/Not known (2005-10),Mid Junction - on roundabout or on main road,SUBARU,LEGACY GLS 4WD,Petrol,Female,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Car,No,Front,2005.0,Unclassified,0.0,Unclassified,0.0,Slight,None,2005-02-01,Tuesday,1.0,Give way or uncontrolled,Crossroads,51.492515,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527270.0,178660.0,-0.16813,E01002862,1.0,2.0,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,None,30.0,16:44,Urban,Raining no high winds,2005.0,No
200501BS70029,21 - 25,7.0,Urban area,3.0,599.0,None,None,Other/Not known (2005-10),Not at or within 20 metres of junction,KAWASAKI,ZX 600-G1,Petrol,Male,None,No tow/articulation,Did not leave carriageway,0.0,Going ahead other,1.0,Motorcycle over 500cc,No,Front,2005.0,B,450.0,,0.0,Serious,None,2005-02-15,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.521709,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524100.0,181830.0,-0.212653,E01002905,1.0,1.0,0.0,1.0,Metropolitan Police,Dry,Single carriageway,None,30.0,18:15,Urban,Fine no high winds,2005.0,No
